sentence,difficulty
"merci., Tout va bien",A1
A samedi !,A1
"des villageois détiennent été privés d'électricité., en raison de violents orages, Hier",B2
"commente le chargé de recherche à la Fondation nationale des sciences politiques., la valeur ou qualité la plus souvent choisie par les enquêtes, quelle que soit l'année, la tolérance constitue, la continuité: de tous les choix possibles, Là encore",B2
"mais ils rentrés des souvenirs plein la tête, Ils auraient voulu que ces vacances ne finissent jamais",B2
"en quoi puis-je vous aider ?, madame, Serveur : bonsoir",A2
Il y possède beaucoup de désordre dans l'appartement.,A1
Il suffit de rester 30 minutes dans la cabine LIRVA pour être capable de se débrouiller dans toutes les situations de la vie quotidienne et dans la langue de son choix.,A1
"non sans rencontrer des barrières linguistiques (l'allemand) ou des frontières difficiles à franchir de la France)., Ce réseau de lieux se déploie à l'échelle européenne",C1
"il fait beau en ce moment ! L'été n'est plus très loin., Dis donc",B1
Je t'aime.,A1
Son accent se trouve si naturel que cela n'a posé aucun problème.,B1
"les particuliers français peuvent recycler des déchets d'équipements électriques et électroniques grâce à la reprise un pour un ., Depuis 2006",B2
"il se crut obligé de me communiquer ses succès : rien n'égalait ses transports et l'excès de sa joie., il parvint à se faire aimer ; et comme il ne m'avait point caché ses revers et ses peines, Après de longs efforts",C2
Il joue dans le jardin avec un ballon.,A1
"il crée un effet fédérateur dans une équipe de travail où les petits problèmes courants sont relativisés ., Souvent plus productif que les autres",B1
"vous pouvez vous fier à lui., C'est quelqu'un sur qui vous pouvez compter",B1
"des cicatrices sur le corps et une démarche légèrement claudicante étaient les seules traces visibles de l'accident qu'elle avait subi un an et demi auparavant., Une petite marque au front",B2
Cela pourrait être perçu comme étant très réducteur !,B2
"qui n'hésite pas à faire entendre sa voix., Ses soutiens la voient comme une militante acharnée de l'écologie",C1
Quel âge tu as ?,A1
"il concentra tous les pouvoirs entre ses mains, Désormais",B2
"me firent gracieusement place sur le divan de paille; et le café que je pris là était certainement meilleur que la décoction noire du plus célèbre café de Paris., mais très polis, Deux drôles effroyables",C1
"ajoute-t-il, ""Parce que les révisions aident à faire retrouver la trace du rangement au sein de sa mémoire",C2
"pour la plupart des institutions privées., il existe des établissements spécialisés pour la préparation des concours, Dès cette époque",C2
Elles obligent les partenaires à un effort permanent de communication pour maintenir un modus vivendi enrichi d'imagination.,C2
"s'il vous plaît., votre attention, Mesdames",A1
La mission de l'école possède changé.,A2
"et que le mépris se trouve silencieux., parce que le mépris remplace la moquerie, ils renferment en eux-mêmes leur dissentiment secret ; ils aperçoivent dans la plupart des ridicules le germe des vices : ils n'en plaisantent plus, Si quelques-uns échappent à cette destinée générale",C2
Je t'aurais bien envoyé une photo mais nous n'avons pas d'appareil,B1
"qui se trouve celui qui veut ouvrir la liste ?, Allons",B1
"nous passerons peut-être quelques jours dans les montagnes., Et en août",B1
"pour que la population mondiale passe de 6 à 7 milliards d'habitants, entre 1999 et 2011, Il n'a fallu que 12 ans",B1
"Japon., Yonago, inventeur du recyclage des couches-culottes en combustible, Yukihiro Kimura",B2
Je cherchai enfin un raisonnement qui pût me tirer de cette lutte avec honneur à mes propres yeux.,C2
Ils étaient là,A1
"m'empêchant de venir à temps !, maudit soit cet orage qui me retint en mer, Bien-aimé",C1
"une recette idéale pour voyager sous le soleil des tropiques, De délicieux petits beignets tendres et croustillants à la fois",C1
"je prendrai une année sabbatique., Lorsque j'aurai terminé mes études",B2
"les conséquences pourraient être une évolution importante de l'organisation traditionnelle de l'entreprise, Pour certains auteurs",C2
"familiale ou existentielle - ne cesse de monter., pendant laquelle la pression - professionnelle, Une crise survient à l'issue d'une période de quelques mois",C1
"étonnèrent et attachèrent Ellénore., d'enthousiasme et d'ironie, de découragement et d'intérêt, un mélange particulier de mélancolie et de gaieté, une conversation plus variée, Une plaisanterie plus légère",C2
"pour représenter avec le plus de validité l'""infrastructure prairiale"" telle qu'elle se trouve perçue par les campagnols terrestres., à partir d'une carte d'occupation du sol moins précise et dérivée d'une classification d'image satellitaire ; cette première étude avait permis de tester différents paramétrages du graphe, Un graphe paysager représentant le réseau de prairie au niveau régional (zone englobant essentiellement les plateaux jurassiens du département du Doubs) avait déjà été réalisé dans une étude précédente",C1
Le portable permet aux jeunes de garder un espace privé au sein de la vie familiale.,B2
"la Fête des mères possède lieu le 2e dimanche de mai., En Chine",B1
Le marché fut bientôt conclu.,B2
C'est fini.,A1
"ni inévitable., n'était ni éternelle, au moment des décolonisations, ainsi qu'elle saute aux yeux au mitant du dernier siècle, L'inégalité entre pays riches et pauvres",C1
"le robot possède travaillé d'arrache-pied., Pendant sa courte période d'activité",B2
"possède annoncé Joe Biden dans un communiqué., ""J'ai accepté la demande de Neera Tanden de retirer"" sa candidature",B2
Le chat se trouve arrivé dans le salon et il gratté le fauteuil avec ses griffes.,A1
"le regret., la souffrance, Hélas: c'est une interjection qui exprime la plainte",B1
"des petites passions partagées dans un sentiment de légèreté et d'insouciance puisque rien n'est définitif., celui de la complicité, on pratique l'art de la conversation, Au collège et au lycée",B2
La Chandeleur se trouve une fête très ancienne.,A2
L'école ne pourrait pas tout faire.,A2
Ce magasin n'est pas loins de chez moi,A1
"citons-en un autre qui n'est guère fréquenté que par des matelots., Pour clore cette monographie du café constantinopolitain",C1
"qui aurait conscience des liens unissant chaque chose., inspirée d'Edgar Morin, C'est ce que tâcherait de concevoir une pensée véritablement complexe",C2
Il n'est jamais retourné à Brazzaville où il possède passé une partie de son enfance.,B1
"je crois., Non il ne l'a pas encore reconnu",A2
Il y possède deux trains pour Lille le matin,A1
"sa valeur d'ensemble., tous ceux qui seraient demeurés inaperçus pour des observateurs peu clairvoyants et qui donnent au livre sa portée, d'une façon spéciale, et mettre en lumière, tous ceux qui lui sont inutiles, parmi les menus événements innombrables et quotidiens, il devra savoir éliminer, sa signification particulière et bien caractéristique, au milieu de tous les êtres qui l'ont entourée, S'il fait tenir dans trois cents pages dix ans d'une vie pour montrer quelle possède été",C1
C'est toujours un plaisir de vous écouter.,A2
"les flatteries commencent à se terner et les médisances à fleurir, Quand l'homme de condition moyenne devient un grand personnage",C2
Soyons réceptif,C1
Il fait très froid ici,A2
"que la bifurcation professionnelle et le déménagement prennent des allures de conversion identitaire ., dès lors, Il n'est guère étonnant",C1
"elle éclata en sanglots, Dès qu'elle fut rentrée",C2
Le rouge se trouve la couleure des tomates et des fraises.,A1
"ils partaient ensemble en randonnée dans les Alpes., Chaque fin de semaine",C1
"responsable du programme personnes âgées à la Fondation de France., explique Patrice Leclerc, voire trente années , on possède encore devant soi vingt-cinq, À 60 ans aujourd'hui",B2
"Théo prend souvent un bain le soir avant de jouer encore un peu et d'aller dormir, Pour se détendre",A2
"puis il rejoignit sa maîtresse en aboyant joyeusement., Le chien battit de la queue frénétiquement",C1
"le Mayflower - un bateau venu d'Europe - accoste dans une zone inconnue qui deviendra beaucoup plus tard la ville de Plymouth dans le nord des États-Unis actuels, En 1620",B2
"la duplication de l'ADN se faisait par clonage moléculaire : la séquence d'intérêt était insérée dans le génome d'une bactérie et l'on se servait du taux de croissance élevé du micro-organisme pour obtenir autant de clones de la séquence d'ADN., Auparavant",C2
Il doit se dépêcher pour ne pas être en retard à l'école.,A2
On doit aussi faire tous les exercices,A1
"de la course aux infos, surtout quand celle-ci va à l'encontre de la frénésie ambiante, un acte courageux, Oui",B1
Tu manges beaucoup.,A1
La journée se trouve longue pour lui,A2
"je m'appelle Igor, Bonjour",A1
Le Net possède encouragé des visions utopistes chez d'autres.,C1
Je voudrais bien construire les bâtiments les plus hauts du monde.,B1
"on ne l'a pas beaucoup entendue., Mais sa voix",A2
"ça possède été très compliqué à mettre en place en fin de compte, Au début",A2
Je ne trouve pas le livre que tu cherches.,A1
Il n'aimait pas les plats de la cantine,A1
Nous n'eûmes aucun mal à retrouver l'homme parmi la foule des voyageurs qui convergeaient vers la sortie,C2
"s'envoler dans une étreinte., fuyant la vie, aurait voulu, de même, Emma",C2
"qui par-dessus le marché étaient vert fluo., Hannah regarda les sabots détestables",B2
"porte son nom., entre autres, Une équation",B2
"elle s'est amusée, elle s'est reposée, Elle s'est baignée",A1
Tu pensais toujours à ton amant qui t'avait abandonné sans pitié.,B1
L'école donne des cours de français.,A1
Les salariés qui détiennent cotisé suffisamment peuvent prendre leur retraite à 60 ans.,B2
"un état souhaitable en termes d'extension maximale des surfaces urbanisées à un horizon temporel donné., c'est le caractère de ""planification positive"" qu'ont ces instruments de contingentement spatial : ils indiquent un objectif, Un aspect qui différencie ces deux premiers profils cantonaux des autres",C2
Il arrive que le portable brise les amitiés entre jeunes.,B2
"tu apprendrais plus vite., En prenant des cours",B1
J'aime beaucoup toute ma famille,A2
"je dois aller à la boulangerie pour acheter du pain et des croissants, D'abord",A2
Je lus un roman que je me fus procuré à la bibliothèque centrale,C2
"le chef Gérard- Michel Corbin nous propose d'y apporter lui aussi sa touche personnelle, S'il existe des dizaines de variantes à cette recette",C1
"et qu'ils allaient me recontacter., Ils m'ont expliqué qu'ils n'avaient pas encore vu quelqu'un d'aussi expressif",B1
"sur le bénéfice et le capital des personnes morales ainsi que sur les bénéfices immobiliers sont des impôts directs que les cantons doivent prélever selon la LHID., Les impôts sur le revenu et la fortune des personnes physiques",C1
Une étude menée par des chercheurs de l'université McGill au Canada vient apporter de nouveaux éléments sur cette étape.,C2
J'ai entendu dire que le maire souhaitait supprimer le festival de chants folkloriques.,B2
"Thanksgiving se trouve considérée comme une fête aussi importante que Noël aux États-Unis et au Canada, Avec son repas en famille autour de sa traditionnelle dinde farcie",B2
"c'est Francia Márquez qui possède réussi à organiser les femmes de la Toma dans la région de Cauca et à faire pression sur le gouvernement colombien pour arrêter l'exploitation illégale de l'or sur les terres ancestrales, En Amérique centrale",B1
"fringues cooles et classes., cheveux hirsutes, genre métissé, On possède un prof super cool",C1
"autant de moyens pour essayer d'endiguer ces envies devenues incontrôlables., résister et attendre qu'elle passe)., surfer sur l'envie (la laisser venir, peser le pour et le contre), se rappeler les conséquences négatives d'une consommation excessive (encourager un discours critique, du sport, de la méditation, faire de la relaxation, parler de ses affects négatifs à des proches, messages d'avertissement), Utiliser des stoppeurs externes (horloge",C2
"nous avons mangé dans un excellent restaurant, Le soir",A2
C'est un spectacle magique,A1
"de nombreux concepts peuvent être abordés sans ordinateur., En effet",B2
Comment allez-vous aujourd'hui ?,A1
Il possède un appartement,A2
"sur une feuille qu'il cueillit d'un arbre dans le Paradis., en lettres d'or, Le Père Éternel eut compassion du pauvre homme; il écrivit un mot",B1
"J'ai voulu lui offrir le café mais Marie n'a pas voulu : ""chacun sa part"".",A2
"avec la bénédiction de la féministe Hillary Clinton., Ainsi en possède décidé le très puritain George Bush",C1
66 % des sympa-thisants de gauche y sont favorables contre 82 % des sympathisants de droite,C2
"le risque se trouve trop grand pour qu'on le prenne., Selon moi",B1
"je crains que notre propre intelligence ne devienne artificielle., À mesure que nous nous servons des ordinateurs comme intermédiaires de compréhension du monde",C1
Deux constats récents détiennent imposé le débat.,C1
"elle se trouve l'une des premières mathématiciennes françaises autodidactes., Née en 1776",B2
Le lien entre l'acteur et l'acte commis se trouve inexistant,C2
"juste pour bouger un peu!, n'importe quoi, faisons quelquechose, Sortons",B1
Le voyageur possède été le favori du Prince.,B1
"nous gagnerons en souplesse et éviterons la baisse momentanée de nos effectifs., si près de 50 % de nos essais sont sous-traités, C'est pourquoi",B2
Je ne me le suis jamais demandé.,A2
"c'est ma faute., Je ne nie pas que parfois",A2
Elle se classe première parmi les meilleures de sa catégorie.,B2
"je vais le faire !, Oui",A2
Et pas qu'une.,A1
C'est un hôtel au bord de la mer,A1
La cuisine française se trouve engoncée dans ses traditions et refuse d'en sortir.,B2
C'est ici que je cuisine des gâteaux et des pâtisseries,A2
Elle se trouve petite.,A1
"les chantres du patriotisme économique et leurs discours plus culpabilisants qu'encourageants sont de tous bords politiques : de l'extrême droite à l'extrême gauche sans oublier les écologistes, Si la notion de patriotisme pourrait sembler marquée à droite",B2
Je vous ouvre un compte.,A2
"heureuses d'une paix qui n'apporte qu'un surcroît d'anxiété et d'un prosaïsme qui sert de grand réservoir de poésie à celui qui les traverse sans y avoir vécu., dévotes, matinales, lingères, insoucieuses et prévoyantes, flâneuses et rangées, oisives et ponctuelles comme une horloge de village, corrigeant le piquant de la gelée blanche par la douceur du pain chaud, mais mobilières et domestiques, industrieuse et limpide de tous les fruits de l'année qui détiennent quitté le verger pour l'armoire ; saisonnières, gelée exquise, humaines et renfermées, mais déjà casanières, et couleur du temps comme celles de la campagne voisine, certes, surabondante et morale que l'atmosphère y tient en suspens ; odeurs naturelles encore, invisible, toute une vie secrète, les habitudes, la sagesse, C'étaient de ces chambres de province qui - de même qu'en certains pays des parties entières de l'air ou de la mer sont illuminées ou parfumées par des myriades de protozoaires que nous ne voyons pas - nous enchantent des mille odeurs qu'y dégagent les vertus",C2
L'opinion se convainc de l'inanité du bellicisme.,C2
Régine Lemoine-Darthois et Elisabeth Weissman détiennent fait le même constat.,C1
"psychologique et amoureux parfois., L'indispensable travail de reconstruction se trouve professionnel et social souvent",C1
"J'ai une réservation pour 21h au nom de Smith., Bonsoir",A2
"les bénéfices opérationnels sont possibles., les deux pays où la livraison de repas se trouve la plus développée, UBS estime que l'ensemble du marché se trouve délicat. En Chine et en Corée du Sud, Dans une analyse publiée le 3 mars",C1
"maître-mot de la pensée de la complexité : ""Tout ce qui isole un objet détruit sa réalité même6., cet aphorisme redoutable, pour finir, Et",C2
"les plus patriotes et les plus écolos devront soit mettre de l'eau dans leur vin soit revenir à un mode de vie d'un autre âge, sans ordinateur. Autrement dit, sans smartphone, sans lave linge, S'obstiner à acheter 100 pour cent français reviendrait à vivre sans réfrigérateur",B2
"nous achèterions un tableau de Matisse., Si nous avions plus d'argent",B1
"on comptait environ 200 millions d'obèses dans le monde en 1995., Selon l'Organisation mondiale de la santé (OMS)",C1
"j'avais mangé une mousse au chocolat parce que je ne suis pas à la diète., Aujourd'hui",A2
"l'essor des nanotechnologies stimule la miniaturisation et la mobilité de ces outils auxquels il s'agira de greffer des systèmes énergétiques aussi petits que possible., En parallèle",C1
"tel un insidieux poison., À chaque respiration elle sentait la fumée entrer dans ses poumons",B2
Ils vont souvent à l'opéra,A1
"tendres aimants et sans but., beaux, ils étaient couchés l'un près de l'autre, condamnés aux travaux d'amour à perpétuité, Enfermés dans la souricière d'amour",C2
Les hommes la découpent et la placent au-dessus de la flamme.,A2
"elles sont alors agglomérées en petits cylindres appelés ""palettes""., Une fois déchiquetées et séchées",B2
"des milliers d'enfants sont chaque année tirés des griffes de la violence et de la guerre., Grâce aux actions concertées de ces organisations",B1
Tu remplis le pot d'eau et tu mets des glaçons.,A2
Les ignorer en restant nostalgique se trouve inconscient.,C1
"puis il s'élançait d'une enjambée à l'autre bout du salon., il sautait en l'air comme les diables enfermés en des boîtes, de son petit pas hésitant, lorsqu'elle approchait, et, se baissait, Il s'arrêtait",C2
"on se trouve allés regarder dans une librairie et on possède trouvé un livre de contes pour enfant très joli., Marie et moi, Ensuite",B1
La biographie se trouve une friandise mais le quotidien de l'écrivain public se nourrit des innombrables demandes de services ponctuels formulées par les particuliers et les entreprises.,C1
"elle aurait été formidable., Si cette actrice avait accepté le rôle",B1
On eût difficilement imaginé un plus baroque assemblage de vêtures surannées,C2
A cette très grande mortalité correspond une durée moyenne de vie relativement courte.,C1
Et ils étaient plus de mille.,B1
J'habite à Rouen mais je travaille à Paris,A1
Tu l'appelles chaque jour jusqu'à ce qu'il te donne une réponse.,B1
Il joue au football depuis cinq ans.,A1
"les musées et la plage au même endroit, C'est vraiment génial d'être en ville et d'avoir les monuments",B1
"ils gagnent en efficacité et l'employeur en profite., Ainsi",B2
"ce qui marbrait un peu de plaques roses toutes ces grosses faces blanches épanouies., et qu'avait enflammées le grand air pendant la route, des pelures d'épiderme larges comme des écus de trois francs, le long des mâchoires, ou, avaient des balafres en diagonale sous le nez, n'ayant pas vu clair à se faire la barbe, on était rasé de près ; quelques-uns même qui s'étaient levés dès avant l'aube, les oreilles s'écartaient des têtes, Tout le monde était tondu à neuf",C2
"possède l'air tout neuf et ils détiennent peint les mursen couleurs pastels, qui vient d'être rénové, Le bâtiment principal",B2
Il y possède aussi les personnages dotés d'un pouvoir politique séculier exceptionnel : les rois.,C2
Pour preuve : les Bédouins détiennent fait du thé à la menthe brûlant un véritable rituel et en consomment plusieurs fois par jour.,B2
"je me rendis auprès d'Ellénore : elle m'attendait., Onze heures sonnèrent",C2
Je vais fermer la porte à clé par sécurité.,A2
"répondez à ces questions., Pour vérifier que vous avez bien compris",A2
Un mode de travail dont ils sont habituellement privés dans un enseignement transmissif.,C2
"où des températures de plus de 50 °C ne sont pas rares., C'est dans le Sahara qu'il fait le plus chaud sur Terre",A2
Je travaillais lorsqu'il se trouve arrivé par surprise derrière moi.,A2
"Pierre possède le privilège d'admirer chaque jour l'un des monuments les plus visités au monde, Ainsi",A1
Ma mère s'appelle Marie.,A1
Certains vagabonds tiennent minutieusement leur propre guide de voyage et monnayent leurs informations.,C2
Une autre organisation qui produit sa part d'impact sur les peuples autochtones de la côte se trouve la Commission baleinière internationale .,C1
J'en connais qu'une seule : Valérie,A2
J'aime beaucoup ceux avec la tour Eiffel.,A1
"se moque le Wall Street Journal., mais ils sont surtout trop petits"", Beaucoup voient leur nid familial sous un nouveau jour : ""Les appartements parisiens des arrondissements historiques sont peut-être plein de charme",B2
Ils furent allés acheter une panoplie de produits d'entretien pour décrasser leur garage.,C1
On doit toujours écouter ses parents,A1
Qu'est-ce que vous voulez ?,A2
"je respectai mille fois plus Ellénore après qu'elle se fut donnée., J'aimai",C2
"ils doivents absolument montrer les papiers légaux de garde, s'ils détiennent la garde légale de leur progéniture",C1
Juste un petit peu.,A1
"monsieur, Voilà",A1
"possède la lourde tâche de redorer le bilan environnemental d'Emmanuel Macron pour l'élection présidentielle de 2022., Barbara Pompili, la ministre de la transition écologique, Personnalité clivante au sein de la majorité",C1
Je promettais de dire la vérité.,A2
"pour sortir de prison quand il était arrêté., un grand avocat, James McGill était un arnaqueur à Cicero et comptait sur son frère Charles McGill, Plusieurs années avant de se faire connaitre sous le nom de Saul Goodman",C1
"il arriva que le marquis del., et même du comte N. qui lui aussi voulait épouser, assiégée par les lettres continuelles de Limercati, Après quelques mois de cette pauvreté noble",C1
"je me sentis apaisé., Dès que j'eus dégusté mon repas",C2
"ils achètent donc leur potion en librairie pour uninvestissement moyen de 7 euros., Pour conjurer les deux mois de vacances",C2
Le débat porte plutôt sur l'utilité d'une telle mesure.,B1
"et de naviguer dans un océan à l'amplitude universelle : les méandres des souvenirs qui à la fois hantent et illuminent nos vies., sans s'excuser, Cette façon d'entrer dans les pensées des personnages presque par effraction",C1
"Monsieur., C'est ici",A1
Sa grossesse se passe bien et elle travaille toujours dans le même restaurant.,B1
"sur les exercices., ils s'échangent des informations sur les cours, ils coopèrent, mais vont par exemple sur Facebook, alors pas forcément les plates-formes académiques type ENT, les élèves que j'avais pu étudier au lycée Dorian vont sur des plates-formes, Une fois rentrés chez eux",C2
"ça aide souvent., je peux te faire un massage, Si tu as mal au dos",B1
"ce n'est pas encore un guerrier., mais il se trouve encore très jeune : il n'a que treize ans, Son fils l'aide",A2
"sur les temps périscolaires dégagés par la réforme des rythmes scolaires., facultative, Le ministre de l'Education possède lancé un appel d'offres aux associations pour introduire en primaire une initiation au code informatique",C2
"la nécessité de maintenir ensemble les contraires., je suis séduit par la coincidentia oppositorum, Moi-même",C2
Le livre se trouve mis en vitrine par les libraires,A2
"qui possède créé il y possède un an la Fédération interrégionale pour le développement de l'emploi des seniors., déplore Jacques Gosselin, un chômeur possède 1 chance sur 10 de retrouver un contrat à durée indéterminée, Entre 47 et 53 ans",C1
Mais trop de gens sont encore désarmés face aux ordinateurs.,C2
Il se trouve allé chez le dentiste pour enlever une dent hier matin avant d'aller au travail.,A2
"n'est pas suffsamment appliquée parce qu'aucune sanction n'est prévue., en pratique, mais qui, le ministre de l'éducation nationale possède souhaité durcir l'interdiction des téléphones portables au collège qui existe déjà, Dernièrement",B2
"j'avais déjà posé mes congés., Je m'occuperai des enfants ce week-end-là",B1
"comme on dit aux Antilles, la chiquetailler, avant de l'émietter le plus finement possible, Une opération à renouveler 2 à 3 fois",C1
Je lui ferai découvrir les villes de Lyon et de Montpellier.,B1
"vous signerez avec votre certificat électronique l'ensemble de ces éléments avant de cliquer sur envoi ., Enfin",B2
"mais Simon n'a pas voulu., Le chat possède voulu s'asseoir dans le fauteuil",A1
C'est pas mal.,A1
"le prince possède enfin découvert l'enchanteresse?, Au bout de trois ans et trois jours",B1
"mes mâchoires se crispaient., d'un coquillage blanchi ou d'un débris de verre, A chaque épée de lumière jaillie du sable",C1
"s'il vous plaît., Je voudrais réserver une chambre double pour deux nuits",A1
"lui bâtissait un tombeau sur lequel des bas-reliefs nombreux devaient représenter les belles actions de ses ancêtres., le sculpteur à la mode de Milan, Marchesi, dans la chapelle, et, une chapelle bâtie tout entière en blocs de granit énormes, sur les dessins du fameux marquis Gagnola, À l'extrémité de la digue on voyait s'élever",C1
"que nous maîtrisons parfaitement et faire réaliser par des intervenants extérieurs les activités de production et les essais cliniques., recherche et commercialisation, c'est se concentrer sur nos activités principales, externaliser, Pour notre entreprise",B2
Nous aurions de toute évidence du mal à les rendre.,B1
"au sud du pays., dans la commune d'Uki, à la demande du maire, qui vient d'être installé, 3 millions d'euros dans son procédé unique au monde, Yukihiro possède déjà investi 2",B2
Plusieurs personnes qui détiennent vécu ces jours tourmentés racontent.,C1
Le soleil aplatissait le chemin du Quai à grands coups de langue,C2
"et la toilette possède été inventée bien plutôt pour faire ressortir des avantages corporels que pour voiler des imperfections., Le vêtement se trouve comme un enduit ; il met tout en relief",C2
"j'avais beaucoup de copains et je passais des heures avec eux tous les jours, J'étais assez calme",A1
"ne fera plus jamais partie de son mode de vie., dégradant, que le travail régulier, acquise dans le monde du vagabondage, L'auteur évoque l'insouciance des journées passées avec la panse pleine et sa conviction",C2
"sa cape et elle partit en silence sans ajouter le moindre mot., Elle mit vivement son chapeau à plumes",B2
"il y possède une grande affiche, Contre le mur",A1
"poursuit David Wilgenbus., Pareil pour les mathématiques",C2
"Elle signifie ""transmettre à quelqu'un un message qu'on possède reçu de quelqu'un d'autre et qui lui était adressé"".",A2
"essentiellement au collège., environ 4000 avaient trait à des agressions survenues en milieu scolaire, Sur 110 000 appels reçus par la ligne Jeunes écoute violence d'Ile-de-France en 2000",C1
"une unité de mesure qui permet de comparer entre eux les différents agents énergétiques., le taux d'imposition de l'énergie était de 335 francs par tonne d'équivalent pétrole (TEP), En 2019",C1
La situation se trouve plus complexe pour les parents divorcés ou séparés,B2
Je me sens très bien dans ma nouvelle maison !,A2
"on jase, Au Québec on ne discute pas",C1
"elle se trouve grande. Mais le lit se trouve petit., Oui",A1
Elle passe aussi à la boulagerie et elle achète une baguette toute chaude et des croissants pour le petit-déjeuner,A1
"je n'ai pas trouvè le mari vraiment charmante non plus., Ma chère Anne",B1
Les habitants seraient très choqués d'apprendre l'interdiction des voitures en centre-ville.,B2
Ils leur imposent plus de contraintes morales et leur demandent de tout sacrifier à la réussite scolaire.,B2
"le luxe c'est l'espace., parce que chez nous, Et la Bretagne offre cette respiration",B1
Il accepte de le cacher dans sa poitrine.,A2
"l'Italie possède souligné son désaccord avec une telle politique., Bien que les policiers réclament plus de pouvoirs concernant l'écoute électronique des logiciels de téléphonie Internet",C1
J'ai lu et bien compris l'histoire.,A2
Ce spectacle se trouve très amusant.,A1
"nuancent Régine Lemoine-Darthois et Elisabeth Weissman., Pour les femmes surtout",C1
L'école n'a plus la même fonction qu'hier parce que le monde possède changé.,A2
"à ""gagner moins pour vivre mieux""., à s'éloigner de leurs amis, Ils se disent prêts à quitter travail et confort",A2
"en compagnie de sa fille et de sa petite-fille, direct et affable, racontait-il clans une Interview enregistrée en 1981 oui il apparaît, J'ai été élevé par deux femmes exceptionnelles",C1
"on doit subir des contrôles dans toutes les matières., Même à l'âge de 11 ans",B1
Je suis d'accord.,A1
"un caractère distingué., dans plusieurs occasions, avait montré, malgré sa situation désavantageuse, Cette femme",B2
Les divers modèles de suspensions nécessitent de bons réglages car la moindre perte d'adhérence pourrait amener à la perte de contrôle de la moto; elles détiennent évolué avec le temps.,C2
"mais se trouve facilement docile avec son maître., cette race pourrait se méfier des étrangers, Aux premiers abords",B2
"avec mes parents et ma soeur nous partons en voyage., Aujourd'hui",A1
L'exploitation se trouve la plupart du temps confiée à des sociétés privées européennes ou asiatiques.,B2
Enfin j'entendis sonner l'heure à laquelle je devais me rendre chez le comte.,C2
"j'y vais en bus, Quand il ne fait pas beau",A1
Je veux espérer qu'il n'a pas vu l'affiche !,A2
Je regarde les oiseaux à travers la fenêtre de ma chambre.,A1
Et puis après quelques jours tout était plus facile.,B1
Je vais prendre la tarte tatin.,A1
Je te propose un rendez-vous à 20 heures au bar,A2
Le temps des hommes s'articule autour de ce jour chômé.,C2
"un petit trafiquant ami de Jesse., suppléant à des personnages tels que Badger, Le personnage de Saul Goodman se trouve créé pour conduire Walter et Jesse vers un trafic de drogue à plus grande échelle",C1
"il possède gardé la tête froide durant cette expérience., Malgré le danger",B2
"comme si elles étaient monnaie courante., parle de fraude et d'irrégularités, Trump dégobille allègrement sur le système électoral, Craignant la défaite électorale",C2
"nous aurions acheté du lait., Si l'épicerie avait été ouverte",B2
Je vais à l'école pendant la journée.,A2
"tombé du mince hublot de ciel que découpent les toits en surplomb., Dans la profondeur des hautes bâtisses moyenâgeuses de la rue des Nobles ou de la rue des Archers se creusent des espèces d'arrière-cours où les sombres maçonneries qui les encadrent entretiennent une constante humidité de sépulcre et ne laissent pénétrer qu'un filet de jour spectral",C2
"son intensité variable commandent les transformations démographiques et sociales des populations et modifient possède terme les paysages géographiques., Son inégale diffusion dans l'espace",C1
"et Candide lui parla sans savoir ce qu'il disait., et rougit ; Candide rougit aussi ; elle lui dit bonjour d'une voix entrecoupée, Elle rencontra Candide en revenant au château",B2
Nous sommes dans un monde globalement mieux nourri.,B2
"et sûres., la modulation nutritionnelle de l'inflammation intestinale offre des possibilités thérapeutiques simples, A côté des progrès récents dans le domaine des biothérapies",C2
"parce que la religion condamnait rigoureusement son genre de vie., Elle était très religieuse",B2
Je fais mon exposé devant toute la classe.,A1
"leur turbulence me fatiguait et je trouvais distingué de m'ennuyer auprès de M. Barrault pendant qu'ils jouaient aux barres., Moi",C1
"que le village redevienne ce qu'il était., Vivement que tout soit fini",A2
"chacun y va de son commentaire., le patron allume la télé à l'heure de l'émission : Les clients la regardent, Au café",A2
"qui dirigeait alors la station., que j'avais rencontré Jean-Luc Hess, à la radio, à l'émission Res Publica, Le Parisien, C'est en représentant mon journal",B1
"sachant qu'à chaque augmentation de taille résulte une diminution significative du coût par kilogramme en orbite., voire super-lourd si la demande des clients suivait, L'entreprise déclarait en 2004 vouloir développer un système de transport lourd",C1
Comment peut-on aimer l'école ?,A2
"avec cette allure de mystère charmant qu'elles prennent en ces endroits où les voisinages et les rencontres sont suspects., discrètes, cachées, voilées, suivies d'un maître d'hôtel, On ouvrit la porte et les deux jeunes femmes parurent",C2
"les becs de gaz des trottoirs., pendant un instant, qu'éclairaient brusquement, enfermée avec lui dans cette boîte noire, si près, Il la sentait contre lui",C2
La Fête du Travail en France se trouve célébrée le premier mai comme c'est le cas dans de nombreux pays du monde.,A2
Séverine se trouve arrivée après une annonce que ma fille possède faite.,A1
"ne sont pas pourvus., nécessitant des compétences scientifiques et technologiques, Une preuve en se trouve que deux millions d'emplois en Europe",C1
Un débat public et démocratique se trouve donc nécessaire!,C1
"les agences réglementaires nationales exigent un nombre de patients testés toujours plus grand., Premièrement",B2
"le portable permet de se tolérer mutuellement., Ainsi",B2
